src1_x,src1_y,src1_z,src2_x,src2_y,src2_z,rlt_x,rlt_y,rlt_z
-0.272913,-0.131307,-0.0284268,-0.272913,-0.131307,-0.0284268,-0.272913,-0.131307,-0.0284268
-0.272913,-0.131307,-0.0284268,-0.272935,-0.131145,-0.0282617,-0.272934,-0.131148,-0.028265
-0.249537,-0.128774,-0.0248511,-0.27301,-0.131048,-0.0280966,-0.27254,-0.131005,-0.0280349
-0.269417,-0.133826,-0.0258296,-0.273127,-0.131078,-0.0279422,-0.272592,-0.131091,-0.0278395
-0.249216,-0.134067,-0.0320093,-0.273383,-0.131374,-0.0276918,-0.272376,-0.131441,-0.0276775
-0.246981,-0.135525,-0.0250022,-0.273692,-0.131799,-0.027207,-0.272171,-0.131939,-0.0271489
-0.26053,-0.133844,-0.0289985,-0.274055,-0.132266,-0.0264346,-0.272293,-0.132435,-0.026429
-0.251272,-0.144986,-0.0357364,-0.274481,-0.132722,-0.0255771,-0.272291,-0.133133,-0.0257747
-0.242971,-0.144276,-0.0424884,-0.274801,-0.133115,-0.0247942,-0.272018,-0.133741,-0.0253417
-0.258445,-0.140807,-0.0389766,-0.274961,-0.133422,-0.0241496,-0.271903,-0.134183,-0.0249828
-0.263391,-0.134532,-0.0310973,-0.275089,-0.133686,-0.0235158,-0.271858,-0.134449,-0.0244839
-0.241656,-0.137922,-0.0263711,-0.275271,-0.134036,-0.0229033,-0.271432,-0.134862,-0.0239214
-0.226906,-0.137576,-0.0268822,-0.275526,-0.134439,-0.0223653,-0.270792,-0.135311,-0.0234534
-0.266896,-0.140283,-0.0245649,-0.275825,-0.134896,-0.0218912,-0.271007,-0.135858,-0.023011
-0.253078,-0.146615,-0.0259074,-0.276156,-0.13531,-0.0214597,-0.270973,-0.136478,-0.022646
-0.283108,-0.146051,-0.0317967,-0.276454,-0.135585,-0.0210709,-0.271508,-0.13694,-0.022448
-0.256502,-0.144394,-0.0319514,-0.276721,-0.135668,-0.020714,-0.271469,-0.13717,-0.0222883
-0.276762,-0.144804,-0.0254333,-0.276956,-0.135613,-0.0204103,-0.271805,-0.137269,-0.0220536
-0.262881,-0.140644,-0.0292197,-0.277211,-0.135537,-0.0200854,-0.271877,-0.137262,-0.0218786
-0.248149,-0.146703,-0.0297191,-0.277489,-0.135546,-0.019835,-0.271674,-0.13746,-0.02179
-0.252613,-0.151416,-0.0371337,-0.277691,-0.13563,-0.0196593,-0.271492,-0.137821,-0.0219246
-0.276053,-0.145534,-0.0377417,-0.277787,-0.13567,-0.0196432,-0.271677,-0.138015,-0.0222253
-0.261438,-0.147887,-0.0334686,-0.277798,-0.135552,-0.0197765,-0.271483,-0.138096,-0.0225807
-0.272188,-0.147028,-0.028937,-0.277745,-0.135262,-0.0199841,-0.271445,-0.137991,-0.0229113
-0.256652,-0.143494,-0.0319719,-0.277703,-0.134845,-0.0201492,-0.271108,-0.137692,-0.0232543
-0.265478,-0.142221,-0.0307605,-0.277703,-0.134449,-0.0202611,-0.270996,-0.137395,-0.0235141
-0.250099,-0.13943,-0.0300801,-0.277746,-0.134128,-0.0202238,-0.27062,-0.137121,-0.0236089
-0.270503,-0.138875,-0.0318186,-0.277811,-0.133828,-0.0201866,-0.27068,-0.136862,-0.0237366
-0.268933,-0.135185,-0.031606,-0.277886,-0.133613,-0.0201067,-0.270719,-0.136618,-0.0238156
-0.25783,-0.135396,-0.0329361,-0.277992,-0.133484,-0.0200906,-0.270566,-0.136466,-0.0239823
-0.279485,-0.138116,-0.035465,-0.278046,-0.133365,-0.0201811,-0.270797,-0.136383,-0.0243007
-0.275401,-0.138208,-0.0346293,-0.278014,-0.133225,-0.020293,-0.270858,-0.136282,-0.0246168
-0.27728,-0.139041,-0.0371052,-0.277929,-0.133042,-0.0204262,-0.270903,-0.136158,-0.0249972
-0.269495,-0.133734,-0.0297358,-0.277866,-0.132912,-0.0204527,-0.270812,-0.135983,-0.025118
-0.266003,-0.142167,-0.0266977,-0.277791,-0.132868,-0.0203728,-0.270643,-0.136063,-0.0250712
-0.255464,-0.143983,-0.0278879,-0.277738,-0.132888,-0.0203249,-0.270288,-0.13624,-0.0250806
-0.261371,-0.146013,-0.0230637,-0.27776,-0.132897,-0.0203514,-0.270131,-0.136445,-0.0250663
-0.242534,-0.140613,-0.0231789,-0.277856,-0.132767,-0.0204526,-0.269673,-0.136401,-0.0251276
-0.270471,-0.13821,-0.0231039,-0.277974,-0.132446,-0.0204472,-0.269804,-0.136122,-0.0250819
-0.279768,-0.139746,-0.0297265,-0.278081,-0.131933,-0.020314,-0.270108,-0.135692,-0.0250443
-0.249023,-0.138484,-0.0269672,-0.278177,-0.131398,-0.0199359,-0.269781,-0.135224,-0.0247122
-0.264198,-0.140471,-0.0249901,-0.278209,-0.131002,-0.0194832,-0.269701,-0.134941,-0.0242741
-0.247732,-0.138351,-0.0276699,-0.27822,-0.130873,-0.0192009,-0.269272,-0.134883,-0.0240653
-0.268519,-0.136375,-0.0258946,-0.278188,-0.130967,-0.0191637,-0.269226,-0.135005,-0.0240654
-0.265691,-0.137196,-0.0259136,-0.278178,-0.131178,-0.0192862,-0.269145,-0.135256,-0.0242225
-0.279576,-0.136935,-0.0270397,-0.278157,-0.131379,-0.0195471,-0.269333,-0.135486,-0.0245345
-0.214471,-0.138417,-0.0286077,-0.278115,-0.13142,-0.0197975,-0.268194,-0.135584,-0.0248614
-0.259997,-0.133502,-0.02445,-0.278104,-0.13129,-0.0198241,-0.26802,-0.135416,-0.0248792
-0.254965,-0.135165,-0.0214467,-0.27819,-0.131054,-0.0196802,-0.267843,-0.13518,-0.0246695
-0.239913,-0.132922,-0.0218025,-0.278275,-0.130829,-0.019579,-0.267368,-0.134914,-0.024513
-0.246046,-0.137018,-0.0264737,-0.278403,-0.130657,-0.019499,-0.267067,-0.134787,-0.0244739
-0.25229,-0.135355,-0.0241545,-0.278574,-0.130549,-0.0193872,-0.266939,-0.134692,-0.0243579
-0.274536,-0.135502,-0.033698,-0.278713,-0.130536,-0.0192754,-0.267227,-0.134696,-0.0244351
-0.247487,-0.133245,-0.0262878,-0.278788,-0.130588,-0.0192168,-0.266906,-0.134718,-0.0244147
-0.247492,-0.135891,-0.023117,-0.27882,-0.130671,-0.019254,-0.266549,-0.134823,-0.0244253
-0.249238,-0.135904,-0.0258503,-0.27882,-0.13084,-0.0193339,-0.266203,-0.13501,-0.0245321
-0.254154,-0.140458,-0.0249592,-0.278831,-0.131073,-0.0194565,-0.265973,-0.135347,-0.0246607
-0.264597,-0.138048,-0.0228309,-0.278938,-0.131497,-0.019483,-0.26605,-0.135817,-0.0246502
-0.244881,-0.14229,-0.0238795,-0.279098,-0.13206,-0.0194991,-0.265783,-0.136498,-0.0246504
-0.234963,-0.150226,-0.0258188,-0.279344,-0.132698,-0.0195576,-0.265408,-0.137397,-0.0247312
-0.251344,-0.155171,-0.026328,-0.279578,-0.133282,-0.0196269,-0.265356,-0.138325,-0.0248311
-0.272945,-0.154201,-0.033478,-0.279855,-0.133728,-0.0196002,-0.26578,-0.13908,-0.0249778
-0.264248,-0.151373,-0.0359868,-0.28009,-0.13396,-0.0194777,-0.265979,-0.139554,-0.0250779
-0.288762,-0.146224,-0.0397883,-0.28024,-0.133948,-0.0193019,-0.266581,-0.139675,-0.0251999
-0.278968,-0.147554,-0.0375118,-0.28024,-0.133744,-0.0191261,-0.266829,-0.139632,-0.0252738
-0.2724,-0.145634,-0.0353473,-0.280155,-0.13338,-0.0190782,-0.266857,-0.139396,-0.0254284
-0.28381,-0.143478,-0.0272861,-0.280027,-0.132899,-0.0192326,-0.267071,-0.139006,-0.0256168
-0.251154,-0.136012,-0.0267012,-0.279889,-0.132396,-0.0195575,-0.266617,-0.138454,-0.0259569
-0.246552,-0.13566,-0.0239367,-0.279783,-0.131905,-0.0200421,-0.266112,-0.137916,-0.0263914
-0.236214,-0.132282,-0.0225863,-0.279687,-0.131434,-0.02058,-0.26542,-0.137342,-0.0268424
-0.251261,-0.128415,-0.0266109,-0.279666,-0.131028,-0.0209155,-0.265117,-0.136765,-0.0271666
-0.278931,-0.126656,-0.0316918,-0.279709,-0.130696,-0.0208783,-0.265435,-0.136238,-0.0272206
-0.292067,-0.129467,-0.0310317,-0.279763,-0.130492,-0.020596,-0.26602,-0.135903,-0.0270202
-0.258201,-0.129949,-0.028163,-0.279816,-0.130415,-0.0202498,-0.265916,-0.135709,-0.0267038
-0.281329,-0.136635,-0.0274207,-0.279891,-0.130552,-0.0199994,-0.266298,-0.135861,-0.0264727
-0.263072,-0.134792,-0.0304331,-0.279966,-0.130817,-0.0198982,-0.266307,-0.136099,-0.0264528
